Time,,,Dough Cooler2 Temp,,Dough Cooler1Temp,,Perishable Cooler Temp
08-06-2026 00:03,,,2.247108,,3.197193,,3.707462
08-06-2026 00:08,,,2.275894,,3.312355,,3.638454
08-06-2026 00:13,,,2.131947,,3.427517,,3.615448
08-06-2026 00:18,,,2.074364,,3.542679,,3.730469
08-06-2026 00:23,,,1.959202,,3.542679,,3.707462
08-06-2026 00:28,,,2.016785,,3.427517,,3.891495
08-06-2026 00:33,,,1.959202,,3.312355,,3.776474
08-06-2026 00:38,,,1.815247,,3.312355,,3.79948
08-06-2026 00:43,,,1.84404,,3.312355,,3.960503
08-06-2026 00:48,,,1.815247,,3.427517,,3.891495
08-06-2026 00:53,,,1.815247,,3.427517,,3.983509
08-06-2026 00:58,,,1.84404,,3.427517,,4.075523
08-06-2026 01:03,,,1.815247,,3.744213,,4.052517
08-06-2026 01:08,,,1.84404,,3.327549,,4.075523
08-06-2026 01:13,,,1.84404,,3.790508,,3.983509
08-06-2026 01:18,,,1.815247,,4.340279,,3.891495
08-06-2026 01:23,,,1.728878,,4.108799,,3.891495
08-06-2026 01:28,,,1.84404,,3.790508,,3.891495
08-06-2026 01:33,,,1.757668,,4.224541,,3.707462
08-06-2026 01:38,,,1.757668,,3.90625,,3.730469
08-06-2026 01:43,,,                NOP,,3.790508,,3.730469
08-06-2026 01:48,,,                NOP,,3.703701,,3.730469
08-06-2026 01:53,,,                NOP,,3.703701,,3.79948
08-06-2026 01:58,,,                NOP,,3.67477,,3.79948
08-06-2026 02:03,,,                NOP,,3.67477,,3.822483
08-06-2026 02:08,,,                NOP,,3.472221,,3.79948
08-06-2026 02:13,,,                NOP,,3.587959,,3.707462
08-06-2026 02:18,,,                NOP,,3.67477,,3.707462
08-06-2026 02:23,,,                NOP,,3.587959,,3.707462
08-06-2026 02:28,,,                NOP,,3.90625,,3.707462
08-06-2026 02:33,,,                NOP,,3.993057,,3.638454
08-06-2026 02:38,,,                NOP,,3.472221,,3.569443
08-06-2026 02:43,,,                NOP,,3.790508,,3.385414
