Time,,,Dough Cooler2 Temp,,Dough Cooler1 Temp,,Perishable Cooler Temp
15-06-2026 00:03,,,NOP,,3.009258,,4.192707
15-06-2026 00:08,,,NOP,,3.240742,,4.237846
15-06-2026 00:13,,,NOP,,3.240742,,4.260414
15-06-2026 00:18,,,NOP,,3.03038,,4.282986
15-06-2026 00:23,,,NOP,,3.059464,,4.350697
15-06-2026 00:28,,,NOP,,2.710506,,4.350697
15-06-2026 00:33,,,NOP,,2.594185,,4.373264
15-06-2026 00:38,,,NOP,,2.506943,,4.373264
15-06-2026 00:43,,,NOP,,2.506943,,3.944443
15-06-2026 00:48,,,NOP,,2.274307,,3.741322
15-06-2026 00:53,,,NOP,,2.594185,,3.6059
15-06-2026 00:58,,,NOP,,2.710506,,3.515625
15-06-2026 01:03,,,NOP,,2.826824,,3.447918
15-06-2026 01:08,,,NOP,,2.623264,,3.357639
15-06-2026 01:13,,,NOP,,3.059464,,3.289928
15-06-2026 01:18,,,NOP,,3.699215,,3.267365
15-06-2026 01:23,,,NOP,,3.699215,,3.199654
15-06-2026 01:28,,,NOP,,3.728298,,3.177086
15-06-2026 01:33,,,NOP,,3.495663,,3.177086
15-06-2026 01:38,,,NOP,,3.495663,,3.177086
15-06-2026 01:43,,,NOP,,3.263023,,3.289928
15-06-2026 01:48,,,NOP,,3.263023,,3.289928
15-06-2026 01:53,,,NOP,,3.495663,,3.019096
15-06-2026 01:58,,,NOP,,3.379341,,2.928822
15-06-2026 02:03,,,NOP,,3.263023,,2.928822
15-06-2026 02:08,,,NOP,,3.263023,,2.861111
15-06-2026 02:13,,,NOP,,3.292099,,2.883682
15-06-2026 02:18,,,NOP,,3.059464,,2.861111
15-06-2026 02:23,,,NOP,,2.826824,,2.838543
15-06-2026 02:28,,,NOP,,2.187065,,2.770832
15-06-2026 02:33,,,NOP,,1.75087,,2.770832
15-06-2026 02:38,,,NOP,,1.605469,,2.680553
15-06-2026 02:43,,,NOP,,2.34375,,2.61285
15-06-2026 02:48,,,NOP,,2.34375,,2.61285
15-06-2026 02:53,,,NOP,,2.141201,,2.522572
15-06-2026 02:58,,,NOP,,2.025459,,2.61285
15-06-2026 03:03,,,NOP,,1.909721,,2.522572
15-06-2026 03:08,,,NOP,,2.228008,,2.680553
15-06-2026 03:13,,,NOP,,2.459492,,2.770832
15-06-2026 03:18,,,NOP,,2.690971,,2.861111
15-06-2026 03:23,,,NOP,,2.372688,,3.019096
15-06-2026 03:28,,,NOP,,2.89352,,3.019096
15-06-2026 03:33,,,NOP,,2.922451,,3.086803
15-06-2026 03:38,,,NOP,,2.89352,,3.199654
15-06-2026 03:43,,,NOP,,2.690971,,3.289928
15-06-2026 03:48,,,NOP,,2.777779,,3.289928
15-06-2026 03:53,,,NOP,,3.009258,,3.357639
15-06-2026 03:58,,,NOP,,3.125,,3.289928
15-06-2026 04:03,,,NOP,,3.125,,3.289928
15-06-2026 04:08,,,NOP,,3.125,,3.289928
15-06-2026 04:13,,,NOP,,3.009258,,3.357639
15-06-2026 04:18,,,NOP,,3.125,,3.538197
15-06-2026 04:23,,,NOP,,3.240742,,3.628471
15-06-2026 04:28,,,NOP,,3.125,,3.538197
15-06-2026 04:33,,,NOP,,2.922451,,3.6059
15-06-2026 04:38,,,NOP,,3.125,,3.6059
15-06-2026 04:43,,,NOP,,3.327549,,3.538197
15-06-2026 04:48,,,NOP,,3.211807,,3.6059
15-06-2026 04:53,,,NOP,,3.67477,,3.515625
15-06-2026 04:58,,,NOP,,3.993057,,3.538197
15-06-2026 05:03,,,NOP,,4.571617,,3.6059
15-06-2026 05:08,,,NOP,,4.368053,,3.696178
15-06-2026 05:13,,,NOP,,3.815536,,3.763889
15-06-2026 05:18,,,NOP,,3.931854,,3.854168
15-06-2026 05:23,,,NOP,,3.84462,,3.854168
15-06-2026 05:28,,,NOP,,3.495663,,4.034721
